UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
35,1,66,20,8,2,1,0,0,0,0,3,1,5,4,3,0,2,26,7,1,2,0,0,1,0
36,1,33,82,14,1,0,0,1,0,0,0,0,3,3,0,0,1,5,4,0,0,0,0,0,1
37,1,37,60,15,3,0,0,0,1,0,0,0,2,3,0,0,3,7,3,0,0,0,0,0,0
38,1,77,91,40,4,0,1,0,0,0,0,1,9,9,1,0,1,3,6,1,1,0,0,0,0
39,1,57,7,39,2,0,0,0,0,0,2,0,2,1,0,0,1,3,5,1,0,1,0,0,0
40,1,23,12,4,3,0,0,0,0,0,0,0,0,3,0,0,1,10,2,0,0,0,0,0,0
41,1,37,11,4,1,0,3,1,0,0,1,0,2,1,0,0,3,14,2,0,1,2,0,0,2
42,1,55,18,7,2,0,1,0,0,0,0,1,3,6,1,0,2,23,5,0,3,0,0,0,1
43,1,13,7,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,1,27,21,21,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0
45,1,156,23,10,6,0,1,1,1,0,1,2,9,11,5,1,16,76,10,0,2,0,0,2,2
46,1,1344,2,913,52,0,0,0,2,0,0,0,60,52,6,1,17,178,57,0,4,2,0,0,0
47,1,32,1,2,2,0,0,1,0,0,0,0,0,6,0,0,3,11,7,0,0,0,0,0,0
48,1,15,22,11,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
49,1,56,9,52,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
50,1,38,5,3,0,0,2,0,0,0,0,1,1,16,1,1,1,6,2,1,0,0,0,2,1
51,1,24,5,17,1,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0
52,1,62,1,2,5,0,0,0,0,0,0,0,2,2,2,0,10,9,25,0,2,2,0,1,0
53,1,338,26,162,15,1,8,2,2,0,5,3,18,30,8,2,12,28,20,2,13,6,0,0,1
54,1,884,4,83,47,7,12,6,5,0,6,11,42,383,14,3,41,110,65,1,11,20,2,7,8
55,1,67,6,57,2,0,0,0,0,0,1,0,1,1,0,0,0,1,3,1,0,0,0,0,0
56,1,59,7,5,2,0,1,0,0,0,0,1,1,5,0,1,5,33,3,0,1,0,0,1,0
57,1,35,17,3,0,0,1,1,2,0,0,0,0,0,0,0,0,3,24,0,0,1,0,0,0
58,1,81,31,5,4,2,0,3,1,0,1,0,1,4,7,1,5,33,10,0,0,2,0,2,0
59,1,15,18,11,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
60,1,28,63,11,1,0,0,0,0,0,0,0,1,4,2,0,2,2,1,0,3,0,0,0,1
61,1,88,4,37,4,1,1,1,1,0,0,2,5,8,1,0,6,9,9,0,1,2,0,0,0
62,1,5033,26,325,294,23,66,62,39,2,30,68,183,431,129,21,307,511,2168,12,109,131,7,41,74
63,1,87,16,49,8,1,0,0,1,0,0,0,8,4,2,0,3,0,9,0,0,2,0,0,0
64,1,1834,12,65,53,6,20,20,14,8,11,13,49,87,21,6,69,1216,111,2,23,19,2,8,11
65,1,40,6,27,5,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,1,0,0,0,0
66,1,31,1,22,0,0,0,1,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0
67,1,38,2,5,1,0,0,0,1,0,0,1,2,1,4,0,3,12,6,0,1,1,0,0,0
68,1,28,26,5,2,0,0,0,0,0,0,0,3,10,0,0,4,3,1,0,0,0,0,0,0
69,1,1934,2,245,63,6,8,19,19,4,2,6,44,68,20,4,57,161,1148,4,11,24,3,12,6
70,1,25,41,14,1,0,0,0,0,0,0,0,2,2,0,0,1,5,0,0,0,0,0,0,0
71,1,22,1,1,0,0,0,1,0,0,1,0,0,12,0,0,2,1,1,0,2,0,0,1,0
72,1,23,133,17,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0
73,1,15,12,11,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
74,1,47,7,6,2,0,0,0,0,0,1,0,1,4,1,0,2,19,5,0,3,2,0,0,1
75,1,18,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,1,24,26,9,1,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0
77,1,13,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,1,87,8,11,3,0,1,0,0,0,0,0,9,12,1,0,7,29,9,0,4,1,0,0,0
79,1,23,30,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
80,1,43,83,28,2,0,0,0,0,0,0,0,1,3,0,0,2,5,2,0,0,0,0,0,0
81,1,33,1,3,3,0,1,2,0,0,0,0,1,13,1,0,1,4,2,0,1,0,1,0,0
82,1,2028,37,1322,90,3,5,3,8,0,3,7,88,194,11,3,47,116,98,4,6,9,1,3,7
83,1,15,16,7,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,2,0,0,0
84,1,23,2,2,3,0,0,0,0,0,0,0,0,2,0,0,1,11,2,0,0,2,0,0,0
85,1,44,1,20,4,0,1,0,0,0,1,1,2,4,1,0,2,6,2,0,0,0,0,0,0
86,1,2870,16,233,170,11,47,35,16,5,23,44,103,242,57,15,164,1216,291,5,65,72,1,20,35
87,1,27,4,20,1,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0
88,1,18,35,4,0,0,2,0,0,0,0,0,0,1,0,0,1,9,1,0,0,0,0,0,0
89,1,41,162,19,3,0,0,2,0,0,1,1,1,4,1,0,1,4,3,0,0,0,1,0,0
90,1,12,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,20,7,13,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,0,0,0,0,0,0
92,1,29,21,19,2,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0
93,1,12,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
94,1,33,42,26,1,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0
95,1,19,7,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
96,1,28,4,17,7,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
97,1,309,208,13,8,1,5,1,1,0,1,2,4,22,6,2,5,205,15,0,8,7,0,1,2
98,1,204,276,103,13,0,2,1,1,0,0,1,7,18,2,2,10,29,12,0,1,1,0,0,1
99,1,53,5,21,4,0,1,1,0,0,0,0,2,7,1,1,3,6,5,0,0,0,0,1,0
100,1,61,2,23,2,0,0,0,0,0,1,0,3,8,2,0,4,10,8,0,0,0,0,0,0
101,1,40,52,11,2,0,0,0,1,0,0,0,1,1,0,0,1,6,17,0,0,0,0,0,0
102,1,20,22,4,0,0,0,1,0,0,0,0,2,0,0,0,0,12,1,0,0,0,0,0,0
103,1,23,7,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
104,1,98,54,77,1,0,0,0,0,0,0,0,3,2,0,0,4,8,2,0,1,0,0,0,0
105,1,41,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,1,27,8,4,3,0,0,0,0,0,0,0,0,2,0,1,1,15,1,0,0,0,0,0,0
107,1,15,30,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
108,1,107,29,16,6,0,2,0,0,0,0,0,2,12,3,1,4,47,10,0,3,1,0,0,0
109,1,12,15,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,6,0,0,1,0,0,0
110,1,264,108,22,18,1,3,0,0,1,2,3,12,11,3,0,10,134,27,2,5,7,0,3,0
111,1,19,200,8,2,0,1,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0
112,1,35,20,16,1,0,0,0,0,0,0,0,3,3,0,0,3,8,1,0,0,0,0,0,0
113,1,37,18,9,1,0,0,0,0,0,0,0,0,2,0,0,0,18,6,0,1,0,0,0,0
114,1,193,5,6,5,1,3,1,2,1,4,2,5,118,4,2,2,11,12,1,2,5,0,3,3
115,1,56,12,44,0,0,0,1,0,0,0,0,0,1,0,0,2,2,5,0,0,1,0,0,0
116,1,23,99,14,0,0,0,0,1,0,0,0,0,2,0,1,1,3,1,0,0,0,0,0,0
117,1,18,11,10,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0
118,1,65,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
119,1,38,17,7,7,0,0,0,0,0,0,0,1,2,0,0,5,15,1,0,0,0,0,0,0
120,1,22,23,16,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0
121,1,17,30,8,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,1,0,0,0,1
122,1,66,16,47,2,0,0,1,0,0,0,1,1,2,1,0,2,5,3,0,0,0,0,1,0
123,1,67,282,41,0,1,0,7,1,0,0,1,0,2,0,0,1,6,4,1,2,0,0,0,0
124,1,38,40,9,1,0,0,1,0,0,0,0,0,20,0,0,1,4,2,0,0,0,0,0,0
125,1,28,12,11,3,0,0,0,0,0,0,0,0,4,0,0,4,4,1,0,0,0,0,0,1
126,1,51,94,21,2,0,0,0,0,0,0,0,3,5,1,0,3,11,4,0,0,1,0,0,0
127,1,17,12,10,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0
128,1,37,3,1,2,0,0,0,0,1,0,0,3,4,2,0,1,5,17,0,1,0,0,0,0
129,1,28,42,14,1,0,1,0,0,0,1,0,1,1,0,0,2,2,2,0,1,0,0,2,0
130,1,14,72,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,0,0
131,1,18,3,2,0,0,0,0,0,0,0,0,1,1,2,0,1,0,8,0,3,0,0,0,0
132,1,40,6,7,3,0,0,0,1,0,0,0,2,2,0,0,1,19,4,0,1,0,0,0,0
133,1,35,10,3,2,0,0,1,0,0,0,0,1,1,0,0,1,5,18,0,1,1,0,0,1
134,1,19,3,7,1,0,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,1,0,0,2
135,1,24,11,15,0,0,0,0,0,0,0,0,1,2,0,0,0,4,2,0,0,0,0,0,0
136,1,159,54,151,1,0,1,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0
137,1,22,13,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
138,1,19,5,15,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
139,1,13,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1,53,2,6,3,0,0,0,0,0,0,2,1,6,0,0,4,25,5,0,0,0,0,1,0
141,1,40,13,19,4,0,0,0,0,0,0,0,1,1,0,0,0,5,5,1,0,3,0,0,1
142,1,18,30,4,0,2,2,0,1,0,0,0,2,2,0,0,1,2,1,0,0,1,0,0,0
143,1,15,50,8,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0
144,1,36,6,18,7,1,0,0,0,0,0,0,1,0,0,0,1,5,2,0,1,0,0,0,0
145,1,982,66,44,28,3,10,9,8,2,7,10,22,67,24,9,31,594,52,1,20,27,3,2,9
146,1,69,2,25,8,0,0,1,1,0,0,1,6,4,1,0,3,4,6,0,2,4,0,2,1
147,1,69,17,51,8,1,0,0,1,0,0,0,2,2,0,0,2,0,1,0,0,1,0,0,0
148,1,263,128,21,13,2,4,1,3,0,2,3,10,18,4,0,10,127,28,1,3,7,1,3,2
149,1,29,31,1,3,0,0,0,0,0,0,0,2,5,1,1,4,10,1,1,0,0,0,0,0
150,1,34,3,12,5,0,0,0,0,0,0,0,2,3,3,0,2,4,2,0,1,0,0,0,0
151,1,43,6,20,5,0,0,0,1,0,1,2,0,3,0,0,1,7,1,1,1,0,0,0,0
152,1,41,11,5,16,0,0,0,0,0,0,1,5,3,1,0,1,8,1,0,0,0,0,0,0
153,1,40,15,12,1,0,0,0,0,0,0,0,4,5,2,0,1,7,5,0,2,0,0,0,1
154,1,21,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
155,1,18,23,8,1,0,1,0,0,0,0,0,0,2,0,0,1,1,3,1,0,0,0,0,0
156,1,54,1,4,1,0,1,0,0,0,0,2,4,5,2,0,2,23,8,0,0,1,0,1,0
157,1,63,19,50,0,0,0,0,0,0,0,0,1,2,1,0,0,6,3,0,0,0,0,0,0
158,1,22,2,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
159,1,16,10,11,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0
160,1,1977,116,1666,163,1,1,4,4,0,0,0,56,10,2,8,12,28,18,0,0,3,0,0,1
161,1,34,38,12,0,0,0,0,0,0,0,0,1,1,2,0,3,7,8,0,0,0,0,0,0
162,1,38,31,20,3,0,0,0,0,0,1,0,1,2,1,0,4,3,2,0,0,1,0,0,0
163,1,12,22,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0
164,1,34,10,16,3,0,0,0,0,0,0,0,3,2,0,0,2,5,3,0,0,0,0,0,0
165,1,18,51,13,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0
166,1,140,7,56,9,2,0,1,1,0,1,1,3,9,5,2,7,18,14,0,4,4,1,0,2
167,1,31,33,24,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,0
168,1,34,23,20,0,0,1,0,0,0,1,0,1,5,0,1,1,1,2,0,0,0,0,1,0
169,1,44,18,3,1,0,2,2,0,0,0,0,3,23,1,0,0,2,1,0,2,1,0,1,2
170,1,28,4,22,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0
171,1,12,12,6,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0
172,1,52,50,5,6,0,2,0,0,0,0,0,3,6,1,0,2,18,1,0,6,2,0,0,0
173,1,33,356,0,1,0,0,0,0,0,0,0,0,25,0,2,0,1,1,0,1,1,0,0,1
174,1,23,1,10,1,0,2,0,0,0,2,0,0,1,1,0,0,2,2,1,0,1,0,0,0
175,1,22,7,13,1,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0
176,1,57,20,39,4,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,0,1
177,1,29,27,20,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0
178,1,122,26,0,1,0,1,2,0,1,0,1,2,1,2,1,0,91,5,0,2,11,0,0,1
179,1,57,1,4,0,0,0,0,1,0,0,0,1,36,0,1,1,7,5,0,0,1,0,0,0
180,1,32,43,18,1,0,0,0,0,0,0,0,1,2,0,0,0,6,4,0,0,0,0,0,0
181,1,44,3,19,1,0,1,0,1,0,0,0,0,4,1,0,5,4,4,0,2,0,0,0,2
182,1,27,9,0,1,0,0,0,0,0,0,0,3,12,0,0,1,3,4,0,1,1,0,0,1
183,1,12,13,3,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
184,1,11,10,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
185,1,105,62,12,5,1,2,0,0,0,0,3,5,8,5,0,6,39,13,0,4,0,0,0,2
186,1,49,5,1,3,0,4,0,0,0,0,3,3,3,4,0,0,20,4,1,1,1,1,0,0
187,1,89,23,6,2,0,0,1,0,0,1,3,4,13,1,0,8,33,14,0,0,2,0,1,0
188,1,22,21,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,1,60,27,3,5,0,0,1,1,0,0,1,0,4,0,0,1,11,30,0,0,2,1,0,0
190,1,37,12,5,1,0,1,0,0,0,0,0,3,5,0,0,2,2,16,1,1,0,0,0,0
191,1,37,1,8,2,0,0,0,0,0,0,2,2,16,0,1,1,3,1,0,0,0,0,1,0
192,1,35,2,14,4,1,0,1,0,0,0,0,1,4,1,0,5,3,0,0,0,1,0,0,0
193,1,85,215,5,4,1,2,2,1,0,0,1,1,5,3,1,4,44,7,0,3,0,0,0,1
194,1,889,11,50,49,4,15,8,7,5,4,11,35,74,32,5,57,399,66,1,30,23,0,4,10
195,1,17,8,9,1,0,0,0,0,0,0,0,1,2,1,0,1,0,2,0,0,0,0,0,0
196,1,44,118,23,2,1,0,0,0,0,0,0,0,4,2,0,1,3,7,0,1,0,0,0,0
197,1,19,11,8,0,0,0,0,0,0,0,0,0,6,0,0,1,1,2,0,0,0,0,1,0
198,1,42,84,21,6,0,0,0,1,0,0,0,1,1,0,0,2,5,3,0,0,0,0,2,0
199,1,48,39,2,5,0,1,1,0,0,1,1,5,4,2,0,1,20,4,0,1,0,0,0,0
200,1,14,2,2,0,0,1,0,0,0,1,0,1,2,0,0,1,1,4,0,1,0,0,0,0
201,1,118,4,6,10,0,4,1,0,0,2,1,2,13,3,0,7,43,16,0,2,3,0,3,2
202,1,33,2,2,0,0,0,1,0,0,0,0,0,14,1,1,3,4,3,0,1,2,1,0,0
203,1,54,23,35,0,0,0,1,1,0,1,0,3,2,1,0,0,4,5,0,1,0,0,0,0
204,1,20,134,3,1,0,0,0,1,0,0,0,3,1,1,0,0,8,2,0,0,0,0,0,0
205,1,15,1,10,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
206,1,67,23,5,3,1,2,1,1,0,0,1,2,6,0,0,7,26,9,1,0,2,0,0,0
207,1,19,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
208,1,21,2,12,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,1,0
209,1,38,33,28,2,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,0
210,1,39,40,18,3,0,0,0,0,0,0,0,0,6,1,0,4,5,2,0,0,0,0,0,0
211,1,17,24,13,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
212,1,18,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
213,1,20,102,9,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,1,1,0,0,0
214,1,37,69,22,0,0,0,0,0,0,0,0,1,3,1,0,2,3,3,0,0,2,0,0,0
215,1,24,19,4,2,0,1,0,1,0,0,0,1,7,0,0,4,2,2,0,0,0,0,0,0
216,1,11,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,1,16,3,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
218,1,21,5,14,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0
219,1,39,8,19,1,0,0,0,0,0,0,0,2,9,0,0,2,5,1,0,0,0,0,0,0
220,1,19,25,11,1,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0
221,1,34,320,1,2,1,0,0,0,0,1,0,1,24,0,0,0,3,1,0,0,0,0,0,0
222,1,53,2,3,22,0,1,0,0,0,0,1,2,2,1,0,2,6,7,0,1,2,0,1,2
223,1,58,16,32,3,0,1,0,0,0,0,0,4,6,0,0,1,7,4,0,0,0,0,0,0
224,1,20,3,2,4,0,0,0,0,1,0,1,1,1,0,0,0,10,0,0,0,0,0,0,0
225,1,1814,24,148,84,8,24,21,11,4,11,27,78,143,40,9,97,833,185,8,18,35,3,11,16
226,1,22,3,8,1,0,0,0,0,0,0,0,2,3,0,0,1,4,3,0,0,0,0,0,0
227,1,32,54,14,2,1,0,0,0,0,0,0,2,4,2,0,0,3,4,0,0,0,0,0,0
228,1,23,3,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
229,1,46,2,32,2,0,0,0,0,0,0,0,0,2,0,0,2,3,5,0,0,0,0,0,0
230,1,23,24,16,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0
231,1,19,7,12,2,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0
232,1,19,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
233,1,51,25,44,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0
234,1,126,4,7,11,0,1,1,6,0,0,0,5,7,2,0,9,7,60,0,4,3,0,1,2
235,1,18,20,1,1,0,1,0,0,0,0,0,1,1,0,0,1,7,3,1,0,1,0,0,0
236,1,66,44,5,31,0,0,0,1,0,0,2,7,3,1,0,3,9,4,0,0,0,0,0,0
237,1,49,6,26,3,0,0,0,0,0,0,0,2,0,3,0,0,8,3,0,0,2,0,2,0
238,1,19,92,2,0,0,0,0,0,0,0,0,0,4,0,0,8,1,3,0,0,0,0,0,1
239,1,26,7,8,1,0,0,0,0,0,0,1,3,4,2,0,2,2,3,0,0,0,0,0,0
240,1,23,9,0,5,0,0,0,0,0,0,1,12,0,0,0,1,4,0,0,0,0,0,0,0
241,1,30,32,19,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0,0,0
242,1,26,9,5,0,0,0,0,0,0,0,0,1,1,0,0,0,18,0,1,0,0,0,0,0
243,1,100,4,5,2,1,2,1,0,0,0,2,7,10,1,2,6,39,10,0,6,5,0,1,0
244,1,19,3,4,1,0,0,0,0,0,0,0,0,1,0,1,1,4,6,0,0,1,0,0,0
245,1,35,43,28,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0
246,1,36,26,29,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0
247,1,30,4,0,6,0,0,2,0,0,0,0,1,12,0,0,1,4,4,0,0,0,0,0,0
248,1,1029,236,35,30,5,12,4,13,1,4,3,6,32,7,2,14,770,53,1,8,15,0,11,3
249,1,122,4,10,3,0,3,0,1,0,2,0,3,12,3,1,4,58,10,0,3,6,1,0,2
250,1,29,2,6,0,0,0,0,0,0,0,0,3,6,0,0,3,9,2,0,0,0,0,0,0
251,1,36,7,30,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
252,1,13,59,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
253,1,21,2,12,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,1,0,0,0,0
254,1,58,39,24,4,0,2,1,0,0,1,1,3,6,1,0,0,9,1,0,1,2,1,1,0
255,1,14,24,9,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
256,1,32,92,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
257,1,48,4,4,1,0,0,0,0,0,0,2,0,2,1,0,9,4,23,0,2,0,0,0,0
258,1,115,39,7,4,0,1,0,1,0,2,0,5,6,3,0,55,11,12,0,2,4,0,1,1
259,1,413,11,19,29,1,7,4,2,1,8,6,17,26,15,3,23,46,164,1,14,14,1,9,3
260,1,1619,2,147,110,6,23,12,13,2,12,23,61,155,27,13,116,620,181,2,26,35,2,17,16
261,1,1648,62,248,92,1,1,5,5,1,1,3,76,165,6,3,55,803,155,2,4,20,0,0,2
262,1,43,6,17,2,1,0,1,0,0,0,0,3,7,1,0,0,7,4,0,0,0,0,0,0
263,1,16,22,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
