UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
133,1,366,3,38,19,0,3,4,5,1,3,7,11,32,11,1,20,149,30,2,10,10,0,5,5
134,1,62,1,39,1,0,0,0,2,0,2,1,3,1,1,0,3,8,1,0,0,0,0,0,0
135,1,13,33,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
136,1,27,28,16,0,0,0,0,0,0,1,0,2,3,0,0,1,1,1,0,0,0,1,0,1
137,1,33,43,3,16,0,0,1,0,0,0,0,0,1,0,0,4,2,3,0,1,1,0,1,0
138,1,35,19,13,4,0,0,0,1,0,1,0,2,4,1,0,1,5,2,0,0,0,0,0,1
139,1,47,51,27,1,0,0,1,0,0,0,0,0,1,2,0,2,5,7,0,1,0,0,0,0
140,1,29,6,22,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,1
141,1,13,71,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,1,3342,79,1999,178,8,26,11,20,4,10,22,97,147,43,10,195,219,226,6,35,42,0,15,29
143,1,3131,131,1626,158,8,28,27,41,42,16,25,83,171,70,9,105,252,271,9,57,62,4,25,42
144,1,16,1,6,0,0,0,0,0,0,0,0,1,1,2,0,1,2,2,0,0,1,0,0,0
145,1,570,82,37,27,2,17,7,5,0,3,8,20,38,30,3,48,232,48,0,17,14,0,12,2
146,1,29,3,25,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
147,1,25,6,13,1,0,0,0,0,0,0,0,2,1,3,0,0,1,3,0,1,0,0,0,0
148,1,27,10,14,3,0,1,0,0,0,0,0,1,2,0,0,2,4,0,0,0,0,0,0,0
149,1,17,11,2,7,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0
150,1,118,12,5,10,0,6,0,1,0,0,0,8,39,0,2,13,13,12,0,3,4,0,0,2
151,1,22,6,2,4,0,1,0,0,0,0,1,2,0,0,0,0,4,8,0,0,0,0,0,0
152,1,23,62,1,0,1,0,0,0,0,0,1,0,1,2,0,1,1,15,0,0,0,0,0,0
153,1,12,17,8,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
154,1,16,13,3,1,0,1,0,0,0,0,0,0,0,0,0,7,1,2,0,1,0,0,0,0
155,1,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
156,1,11,60,5,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0
157,1,83,4,9,5,0,1,1,2,0,0,1,2,6,1,1,6,14,33,0,0,0,0,1,0
158,1,390,26,26,22,5,4,6,5,0,2,6,6,33,11,5,12,187,33,3,6,12,0,3,3
159,1,951,6,99,36,0,2,2,6,2,1,2,36,61,22,0,32,550,75,0,7,10,0,2,6
160,1,14,75,3,1,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,2,0,0,2,0
161,1,81,2,36,5,0,2,1,0,0,0,2,1,7,3,0,7,6,8,0,0,2,0,0,1
162,1,11,16,2,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0
163,1,17,18,12,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
164,1,36,8,12,4,0,2,0,0,1,0,0,0,4,0,0,4,6,3,0,0,0,0,0,0
165,1,23,9,2,1,0,1,0,0,0,0,1,2,2,1,0,2,9,2,0,0,0,0,0,0
166,1,1556,12,96,100,4,26,16,12,0,16,25,45,129,50,15,92,661,142,1,44,38,2,25,17
167,1,47,43,23,3,0,0,1,0,0,0,1,1,1,1,0,4,5,4,1,1,1,0,0,0
168,1,486,2,20,27,1,11,9,5,1,4,4,11,42,12,4,22,232,38,0,13,15,0,11,4
169,1,24,9,2,1,0,0,0,0,0,0,0,2,3,1,2,1,10,1,0,0,0,0,0,1
170,1,56,38,22,2,0,0,1,2,0,0,1,6,3,1,0,5,8,4,0,0,1,0,0,0
171,1,22,4,0,1,0,0,0,0,0,0,1,2,3,0,1,1,11,2,0,0,0,0,0,0
172,1,48,76,44,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
173,1,43,8,8,3,0,1,0,1,0,0,0,1,5,1,0,2,17,4,0,0,0,0,0,0
174,1,133,48,85,3,0,0,0,0,0,1,1,0,6,0,0,0,4,30,1,1,1,0,0,0
175,1,421,11,174,23,2,6,2,1,0,2,7,12,29,9,1,25,67,36,0,8,8,0,5,4
176,1,36,21,6,4,0,0,0,0,0,0,2,0,1,0,1,1,4,16,0,0,0,0,0,1
177,1,21,26,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178,1,78,30,40,4,0,0,0,0,0,1,1,2,5,2,0,4,7,10,0,1,0,0,0,1
179,1,11,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
180,1,24,11,18,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
181,1,71,2,7,1,1,0,2,1,0,1,1,2,38,1,0,2,2,2,0,4,5,0,1,0
182,1,13,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1
183,1,41,4,16,2,0,0,0,0,1,0,0,4,4,2,0,2,6,3,0,0,1,0,0,0
184,1,23,108,14,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0
185,1,14,74,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
186,1,55,12,4,6,0,1,0,0,0,0,1,4,4,0,0,3,23,8,0,1,0,0,0,0
187,1,11,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
188,1,369,38,31,13,1,2,2,0,0,1,1,11,35,10,1,4,220,15,2,8,8,0,2,2
189,1,50,50,3,6,0,0,0,0,0,0,0,4,5,0,0,0,8,23,0,0,1,0,0,0
190,1,2236,1,162,187,13,31,20,13,2,6,30,113,196,65,13,134,869,237,4,48,46,3,12,32
191,1,43,42,24,2,0,1,0,0,0,0,0,0,2,0,0,2,4,8,0,0,0,0,0,0
192,1,24,1,12,0,0,0,1,0,0,0,0,1,6,0,0,0,3,0,0,0,1,0,0,0
193,1,41,8,2,0,0,0,0,1,0,0,0,2,2,0,0,28,4,2,0,0,0,0,0,0
194,1,39,18,16,3,0,0,0,0,0,0,0,3,2,0,0,4,5,6,0,0,0,0,0,0
195,1,35,12,19,2,0,0,1,0,0,0,1,3,0,1,0,1,3,3,0,0,0,0,1,0
196,1,30,86,5,2,0,0,0,1,0,0,0,2,1,0,0,2,1,15,0,0,1,0,0,0
197,1,35,15,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
198,1,35,16,2,0,0,0,2,0,0,0,0,1,20,0,0,2,4,2,0,1,1,0,0,0
199,1,23,12,12,1,0,0,0,0,0,0,0,1,2,0,0,1,4,2,0,0,0,0,0,0
200,1,36,1,14,3,0,0,0,0,1,0,0,4,3,0,0,2,3,5,0,0,0,0,1,0
201,1,30,25,6,6,0,0,0,0,0,0,0,4,0,1,0,2,10,1,0,0,0,0,0,0
202,1,25,16,13,0,0,0,0,0,0,0,0,1,4,0,0,3,0,4,0,0,0,0,0,0
203,1,17,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
204,1,47,11,3,0,2,1,0,0,0,0,2,0,4,3,0,3,5,21,0,1,1,0,0,1
205,1,20,1,15,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0
206,1,18,2,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
207,1,105,1,4,11,0,0,2,1,0,1,0,2,4,2,0,4,52,9,0,4,5,0,4,0
208,1,29,8,17,1,0,0,0,1,0,0,0,0,1,0,0,2,4,2,0,0,0,0,0,1
209,1,261,36,22,25,1,11,1,3,1,4,2,10,20,11,1,15,25,88,0,6,7,1,4,3
210,1,53,8,5,0,0,2,1,0,0,1,2,1,6,2,0,3,20,8,0,0,0,1,0,1
211,1,12,63,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0
