obj#,nonMCost,sCost,rCost,wCost,tCost,cCost,mCost,locationt=0  
j=4,49415994301017480,49415994300000000,0,0,1017480,0,0,1
j=5,2011320000044200,2011320000000000,0,0,44200,0,0,1
j=6,84872000020400,84872000000000,0,0,20400,0,0,1
j=7,2901940000061200,2901940000000000,0,0,61200,0,0,1
j=8,1736636000029920,1736636000000000,0,0,29920,0,0,1
j=9,2409922200070380,2409922200000000,0,0,70380,0,0,1
j=10,9284224000213180,9284224000000000,0,0,213180,0,0,1
j=11,4331095400074800,4331095400000000,0,0,74800,0,0,1
j=12,7639340000197880,7639340000000000,0,0,197880,0,0,1
j=13,181839300016000,181839300000000,0,0,16000,0,0,1
j=14,1107256800023800,1107256800000000,0,0,23800,0,0,1

t=30  
j=0,224200300006800,224200300000000,0,0,6800,0,0,1
j=1,277155800007480,277155800000000,0,0,7480,0,0,1
j=2,7690900700142800,7690900700000000,0,0,142800,0,0,1
j=3,78707200001700,78707200000000,0,0,1700,0,0,1
j=4,52726787100931470,52726787100000000,0,0,931470,0,0,1
j=5,2183400000025500,2183400000000000,0,0,25500,0,0,1
j=6,182792000011900,182792000000000,0,0,11900,0,0,1
j=7,3108340000062900,3108340000000000,0,0,62900,0,0,1
j=8,1838276000020570,1838276000000000,0,0,20570,0,0,1
j=9,2638486200052785,2638486200000000,0,0,52785,0,0,1
j=10,9943984000170170,9943984000000000,0,0,170170,0,0,1
j=11,4622121800076500,4622121800000000,0,0,76500,0,0,1
j=12,8185460000128520,8185460000000000,0,0,128520,0,0,1
j=13,244508100016000,244508100000000,0,0,16000,0,0,1
j=14,1185751200022100,1185751200000000,0,0,22100,0,0,1

t=31  
j=0,244293100006800,244293100000000,0,0,6800,0,0,1
j=1,311101400009350,311101400000000,0,0,9350,0,0,1
j=2,8255597900166600,8255597900000000,0,0,166600,0,0,1
j=3,87683200003400,87683200000000,0,0,3400,0,0,1
j=4,55718413500969900,55718413500000000,0,0,969900,0,0,1
