datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=7,12415,0,39728000000000,20400000000000,0,4000,1000,60128000004000
j=7,12415,1,49660000000000,0,0,1700,500,49660000001700
j=8,6449,0,19347000000000,20400000000000,0,4000,1000,39747000004000
j=8,6449,1,25796000000000,0,0,1870,550,25796000001870
j=9,13421,0,30868300000000,23460000000000,0,4600,1150,54328300004600
j=9,13421,1,56368200000000,0,0,1955,575,56368200001955
j=10,46906,0,142594200000000,162600000000000,0,44000,11000,305194200044000
j=10,46906,1,187624000000000,0,0,20570,6050,187624000020570
j=11,13944,0,41832000000000,20400000000000,0,4000,1000,62232000004000
j=11,13944,1,66373400000000,0,0,1700,500,66373400001700
j=12,81455,0,179201000000000,163800000000000,0,48000,12000,343001000048000
j=12,81455,1,325820000000000,0,0,24480,7200,325820000024480
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,2955,0,5910000000000,27900000000000,0,8000,2000,33810000008000
j=14,2955,1,10874400000000,0,0,3400,1000,10874400003400

t=6  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,31606,0,131480900000000,76800000000000,0,24000,6000,208280900024000
j=2,31606,1,206071100000000,0,0,14280,4200,206071100014280
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,449101,0,898202000000000,1401300000000000,0,412000,103000,2299502000412000
j=4,449101,1,1760475900000000,0,0,188490,55620,1760475900188490
j=5,7785,0,24912000000000,40200000000000,0,16000,4000,65112000016000
j=5,7785,1,37368000000000,0,0,6800,2000,37368000006800
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,14455,0,46256000000000,20400000000000,0,4000,1000,66656000004000
j=7,14455,1,57820000000000,0,0,1700,500,57820000001700
j=8,8489,0,25467000000000,40200000000000,0,16000,4000,65667000016000
j=8,8489,1,33956000000000,0,0,7480,2200,33956000007480
j=9,15461,0,35560300000000,23460000000000,0,4600,1150,59020300004600
j=9,15461,1,64936200000000,0,0,1955,575,64936200001955
j=10,63166,0,192024600000000,222000000000000,0,80000,20000,414024600080000
j=10,63166,1,252664000000000,0,0,37400,11000,252664000037400
j=11,15984,0,47952000000000,61200000000000,0,12000,3000,109152000012000
j=11,15984,1,76083800000000,0,0,5100,1500,76083800005100
j=12,97835,0,215237000000000,207900000000000,0,56000,14000,423137000056000
j=12,97835,1,391340000000000,0,0,28560,8400,391340000028560
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,5745,0,11490000000000,20400000000000,0,4000,1000,31890000004000
j=14,5745,1,21141600000000,0,0,1700,500,21141600001700

t=7  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,39286,0,163429700000000,76800000000000,0,24000,6000,240229700024000
j=2,39286,1,256144700000000,0,0,14280,4200,256144700014280
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,589231,0,1178462000000000,1679400000000000,0,484000,121000,2857862000484000
j=4,589231,1,2309785500000000,0,0,221430,65340,2309785500221430
j=5,11805,0,37776000000000,20400000000000,0,4000,1000,58176000004000
j=5,11805,1,56664000000000,0,0,1700,500,56664000001700
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,16495,0,52784000000000,27900000000000,0,8000,2000,80684000008000
j=7,16495,1,65980000000000,0,0,3400,1000,65980000003400
j=8,12509,0,37527000000000,27900000000000,0,8000,2000,65427000008000
j=8,12509,1,50036000000000,0,0,3740,1100,50036000003740
j=9,17501,0,40252300000000,55545000000000,0,13800,3450,95797300013800
j=9,17501,1,73504200000000,0,0,5865,1725,73504200005865
j=10,85366,0,259512600000000,215100000000000,0,64000,16000,474612600064000
j=10,85366,1,341464000000000,0,0,29920,8800,341464000029920
j=11,22104,0,66312000000000,61200000000000,0,12000,3000,127512000012000
j=11,22104,1,105215000000000,0,0,5100,1500,105215000005100
j=12,118625,0,260975000000000,329700000000000,0,84000,21000,590675000084000
j=12,118625,1,474500000000000,0,0,42840,12600,474500000042840
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,7785,0,15570000000000,40200000000000,0,16000,4000,55770000016000
j=14,7785,1,28648800000000,0,0,6800,2000,28648800006800

t=8  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,46966,0,195378500000000,111300000000000,0,36000,9000,306678500036000
j=2,46966,1,306218300000000,0,0,21420,6300,306218300021420
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,757171,0,1514342000000000,2337300000000000,0,652000,163000,3851642000652000
j=4,757171,1,2968110300000000,0,0,298290,88020,2968110300298290
j=5,13845,0,44304000000000,40200000000000,0,16000,4000,84504000016000
j=5,13845,1,66456000000000,0,0,6800,2000,66456000006800
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,19285,0,61712000000000,34200000000000,0,12000,3000,95912000012000
j=7,19285,1,77140000000000,0,0,5100,1500,77140000005100
