datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=87,134,1,2465600000000,0,0,105400,31000,2465600105400
j=88,915,0,9150000000000,10598700000000000,0,2808000,702000,10607850002808000
j=88,915,1,16836000000000,0,0,1193400,351000,16836001193400
j=89,2471,0,24710000000000,31460700000000000,0,8396000,2099000,31485410008396000
j=89,2471,1,45466400000000,0,0,3568300,1049500,45466403568300
j=90,432,0,4320000000000,3054900000000000,0,844000,211000,3059220000844000
j=90,432,1,7948800000000,0,0,358700,105500,7948800358700
j=91,114,0,1140000000000,125241600000000000,0,33448000,8362000,125242740033448000
j=91,114,1,2097600000000,0,0,14215400,4181000,2097614215400
j=92,1175,0,11750000000000,12162000000000000,0,3268000,817000,12173750003268000
j=92,1175,1,21620000000000,0,0,1388900,408500,21620001388900
j=93,1470,0,14700000000000,6439200000000000,0,1756000,439000,6453900001756000
j=93,1470,1,27048000000000,0,0,746300,219500,27048000746300
j=94,546,0,5460000000000,7873200000000000,0,2096000,524000,7878660002096000
j=94,546,1,10046400000000,0,0,890800,262000,10046400890800
j=95,516,0,5160000000000,15063300000000000,0,4044000,1011000,15068460004044000
j=95,516,1,9494400000000,0,0,1718700,505500,9494401718700
j=96,68,0,680000000000,192000000000000,0,52000,13000,192680000052000
j=96,68,1,1251200000000,0,0,22100,6500,1251200022100
j=97,693,0,6930000000000,57508500000000000,0,15412000,3853000,57515430015412000
j=97,693,1,12751200000000,0,0,6550100,1926500,12751206550100
j=98,717,0,7170000000000,12038100000000000,0,3252000,813000,12045270003252000
j=98,717,1,13192800000000,0,0,1382100,406500,13192801382100
j=99,717,0,7170000000000,3153900000000000,0,856000,214000,3161070000856000
j=99,717,1,13192800000000,0,0,363800,107000,13192800363800
j=100,68,0,680000000000,165900000000000,0,44000,11000,166580000044000
j=100,68,1,1251200000000,0,0,18700,5500,1251200018700
j=101,693,0,6930000000000,10821300000000000,0,2924000,731000,10828230002924000
j=101,693,1,12751200000000,0,0,1242700,365500,12751201242700
j=102,18426,0,184260000000000,5293693200000000000,0,1412460000,353115000,5293877461412460000
j=102,18426,1,339038400000000,0,0,600295500,176557500,339039000295500
j=103,68,0,680000000000,324600000000000,0,80000,20000,325280000080000
j=103,68,1,1251200000000,0,0,34000,10000,1251200034000
j=104,878,0,8780000000000,4776900000000000,0,1308000,327000,4785680001308000
j=104,878,1,16155200000000,0,0,555900,163500,16155200555900
j=105,8471,0,84710000000000,39415500000000000,0,10448000,2612000,39500210010448000
j=105,8471,1,155866400000000,0,0,4440400,1306000,155866404440400
j=106,915,0,9150000000000,3436200000000000,0,948000,237000,3445350000948000
j=106,915,1,16836000000000,0,0,402900,118500,16836000402900
j=107,626,0,6260000000000,13449300000000000,0,3632000,908000,13455560003632000
j=107,626,1,11518400000000,0,0,1543600,454000,11518401543600
j=108,432,0,4320000000000,2439900000000000,0,660000,165000,2444220000660000
j=108,432,1,7948800000000,0,0,280500,82500,7948800280500
j=109,68,0,680000000000,154800000000000,0,44000,11000,155480000044000
j=109,68,1,1251200000000,0,0,18700,5500,1251200018700
j=110,693,0,6930000000000,4317600000000000,0,1200000,300000,4324530001200000
j=110,693,1,12751200000000,0,0,510000,150000,12751200510000
j=111,263,0,2630000000000,1463700000000000,0,436000,109000,1466330000436000
j=111,263,1,4839200000000,0,0,185300,54500,4839200185300
j=112,2123,0,21230000000000,10304700000000000,0,2760000,690000,10325930002760000
j=112,2123,1,39063200000000,0,0,1173000,345000,39063201173000
j=113,8468,0,84680000000000,79651500000000000,0,21128000,5282000,79736180021128000
j=113,8468,1,155811200000000,0,0,8979400,2641000,155811208979400
j=114,12098,0,120980000000000,77998500000000000,0,21028000,5257000,78119480021028000
j=114,12098,1,222603200000000,0,0,8936900,2628500,222603208936900
j=115,546,0,5460000000000,30628200000000000,0,8200000,2050000,30633660008200000
j=115,546,1,10046400000000,0,0,3485000,1025000,10046403485000
j=116,134,0,1340000000000,1308900000000000,0,368000,92000,1310240000368000
j=116,134,1,2465600000000,0,0,156400,46000,2465600156400
j=117,1347,0,13470000000000,17610900000000000,0,4688000,1172000,17624370004688000
j=117,1347,1,24784800000000,0,0,1992400,586000,24784801992400
j=118,1619,0,16190000000000,7210500000000000,0,1864000,466000,7226690001864000
j=118,1619,1,29789600000000,0,0,792200,233000,29789600792200
j=119,17062,0,170620000000000,182263200000000000,0,48556000,12139000,182433820048556000
j=119,17062,1,313940800000000,0,0,20636300,6069500,313940820636300
j=120,516,0,5160000000000,4140600000000000,0,1136000,284000,4145760001136000
j=120,516,1,9494400000000,0,0,482800,142000,9494400482800
j=121,371,0,3710000000000,2116800000000000,0,596000,149000,2120510000596000
j=121,371,1,6826400000000,0,0,253300,74500,6826400253300
j=122,1619,0,16190000000000,32497200000000000,0,8696000,2174000,32513390008696000
j=122,1619,1,29789600000000,0,0,3695800,1087000,29789603695800
j=123,256,0,2560000000000,3706500000000000,0,996000,249000,3709060000996000
j=123,256,1,4710400000000,0,0,423300,124500,4710400423300
j=124,134,0,1340000000000,853200000000000,0,256000,64000,854540000256000
j=124,134,1,2465600000000,0,0,108800,32000,2465600108800
j=125,93,0,930000000000,20578800000000000,0,5568000,1392000,20579730005568000
j=125,93,1,1711200000000,0,0,2366400,696000,1711202366400
j=126,1272,0,12720000000000,3458400000000000,0,924000,231000,3471120000924000
j=126,1272,1,23404800000000,0,0,392700,115500,23404800392700
j=127,1569,0,15690000000000,15075000000000000,0,4068000,1017000,15090690004068000
j=127,1569,1,28869600000000,0,0,1728900,508500,28869601728900
j=128,134,0,1340000000000,1501800000000000,0,436000,109000,1503140000436000
j=128,134,1,2465600000000,0,0,185300,54500,2465600185300
j=129,717,0,7170000000000,3764700000000000,0,1032000,258000,3771870001032000
j=129,717,1,13192800000000,0,0,438600,129000,13192800438600
j=130,68,0,680000000000,831900000000000,0,248000,62000,832580000248000
j=130,68,1,1251200000000,0,0,105400,31000,1251200105400
j=131,5586,0,55860000000000,85715400000000000,0,23024000,5756000,85771260023024000
j=131,5586,1,102782400000000,0,0,9785200,2878000,102782409785200
j=132,1339,0,13390000000000,5445300000000000,0,1424000,356000,5458690001424000
