datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=0,23131861,1,425626242400000000,0,0,246500,72500,425626242400246500

t=49  
j=0,23340421,0,233404210000000000,1545300000000000,0,448000,112000,234949510000448000
j=0,23340421,1,429463746400000000,0,0,190400,56000,429463746400190400

t=50  
j=0,23494951,0,234949510000000000,1687500000000000,0,468000,117000,236637010000468000
j=0,23494951,1,432307098400000000,0,0,198900,58500,432307098400198900

t=51  
j=0,23663701,0,236637010000000000,1057500000000000,0,280000,70000,237694510000280000
j=0,23663701,1,435412098400000000,0,0,119000,35000,435412098400119000

t=52  
j=0,23769451,0,237694510000000000,960000000000000,0,268000,67000,238654510000268000
j=0,23769451,1,437357898400000000,0,0,113900,33500,437357898400113900

t=53  
j=0,23865451,0,238654510000000000,909000000000000,0,256000,64000,239563510000256000
j=0,23865451,1,439124298400000000,0,0,108800,32000,439124298400108800

t=54  
j=0,23956351,0,239563510000000000,833700000000000,0,236000,59000,240397210000236000
j=0,23956351,1,440796858400000000,0,0,100300,29500,440796858400100300

t=55  
j=0,24039721,0,240397210000000000,580800000000000,0,152000,38000,240978010000152000
j=0,24039721,1,442330866400000000,0,0,64600,19000,442330866400064600

t=56  
j=0,24097801,0,240978010000000000,513300000000000,0,144000,36000,241491310000144000
j=0,24097801,1,443399538400000000,0,0,61200,18000,443399538400061200

t=57  
j=0,24149131,0,241491310000000000,400800000000000,0,120000,30000,241892110000120000
j=0,24149131,1,444344010400000000,0,0,51000,15000,444344010400051000

t=58  
j=0,24189211,0,241892110000000000,329400000000000,0,100000,25000,242221510000100000
j=0,24189211,1,445081482400000000,0,0,42500,12500,445081482400042500

t=59  
j=0,24222151,0,242221510000000000,250200000000000,0,88000,22000,242471710000088000
j=0,24222151,1,445687578400000000,0,0,37400,11000,445687578400037400

